CMAPSS Dataset Summary Statistics
==============================
              count         mean           std        min        25%        50%        75%        max
Unit        20631.0    51.506568  2.922763e+01     1.0000    26.0000    52.0000    77.0000   100.0000
Cycle Time  20631.0   108.807862  6.888099e+01     1.0000    52.0000   104.0000   156.0000   362.0000
Sensor 1    20631.0    -0.000009  2.187313e-03    -0.0087    -0.0015     0.0000     0.0015     0.0087
Sensor 2    20631.0     0.000002  2.930621e-04    -0.0006    -0.0002     0.0000     0.0003     0.0006
Sensor 3    20631.0   100.000000  0.000000e+00   100.0000   100.0000   100.0000   100.0000   100.0000
Sensor 4    20631.0   518.670000  6.537152e-11   518.6700   518.6700   518.6700   518.6700   518.6700
Sensor 5    20631.0   642.680934  5.000533e-01   641.2100   642.3250   642.6400   643.0000   644.5300
Sensor 6    20631.0  1590.523119  6.131150e+00  1571.0400  1586.2600  1590.1000  1594.3800  1616.9100
Sensor 7    20631.0  1408.933782  9.000605e+00  1382.2500  1402.3600  1408.0400  1414.5550  1441.4900
Sensor 8    20631.0    14.620000  3.394700e-12    14.6200    14.6200    14.6200    14.6200    14.6200
Sensor 9    20631.0    21.609803  1.388985e-03    21.6000    21.6100    21.6100    21.6100    21.6100
Sensor 10   20631.0   553.367711  8.850923e-01   549.8500   552.8100   553.4400   554.0100   556.0600
Sensor 11   20631.0  2388.096652  7.098548e-02  2387.9000  2388.0500  2388.0900  2388.1400  2388.5600
Sensor 12   20631.0  9065.242941  2.208288e+01  9021.7300  9053.1000  9060.6600  9069.4200  9244.5900
Sensor 13   20631.0     1.300000  4.660829e-13     1.3000     1.3000     1.3000     1.3000     1.3000
Sensor 14   20631.0    47.541168  2.670874e-01    46.8500    47.3500    47.5100    47.7000    48.5300
Sensor 15   20631.0   521.413470  7.375534e-01   518.6900   520.9600   521.4800   521.9500   523.3800
Sensor 16   20631.0  2388.096152  7.191892e-02  2387.8800  2388.0400  2388.0900  2388.1400  2388.5600
Sensor 17   20631.0  8143.752722  1.907618e+01  8099.9400  8133.2450  8140.5400  8148.3100  8293.7200
Sensor 18   20631.0     8.442146  3.750504e-02     8.3249     8.4149     8.4389     8.4656     8.5848
Sensor 19   20631.0     0.030000  1.556432e-14     0.0300     0.0300     0.0300     0.0300     0.0300
Sensor 20   20631.0   393.210654  1.548763e+00   388.0000   392.0000   393.0000   394.0000   400.0000
Sensor 21   20631.0  2388.000000  0.000000e+00  2388.0000  2388.0000  2388.0000  2388.0000  2388.0000
Sensor 22   20631.0   100.000000  0.000000e+00   100.0000   100.0000   100.0000   100.0000   100.0000
Sensor 23   20631.0    38.816271  1.807464e-01    38.1400    38.7000    38.8300    38.9500    39.4300
Sensor 24   20631.0    23.289705  1.082509e-01    22.8942    23.2218    23.2979    23.3668    23.6184
Sensor 25       0.0          NaN           NaN        NaN        NaN        NaN        NaN        NaN
Sensor 26       0.0          NaN           NaN        NaN        NaN        NaN        NaN        NaN
