CMAPSS Dataset Summary Statistics
==============================
              count         mean         std        min        25%        50%        75%        max
Unit        61249.0   124.325181   71.995350     1.0000    60.0000   126.0000   185.0000   249.0000
Cycle Time  61249.0   134.311417   89.783389     1.0000    62.0000   123.0000   191.0000   543.0000
setting1    61249.0    23.999823   14.780722     0.0000    10.0046    25.0014    41.9981    42.0080
setting2    61249.0     0.571347    0.310703     0.0000     0.2507     0.7000     0.8400     0.8420
setting3    61249.0    94.031576   14.251954    60.0000   100.0000   100.0000   100.0000   100.0000
s_1         61249.0   472.882435   26.436832   445.0000   445.0000   462.5400   491.1900   518.6700
s_2         61249.0   579.420056   37.342647   535.4800   549.3300   555.7400   607.0700   644.4200
s_3         61249.0  1417.896600  106.167598  1242.6700  1350.5500  1367.6800  1497.4200  1613.0000
s_4         61249.0  1201.915359  119.327591  1024.4200  1119.4900  1136.9200  1302.6200  1440.7700
s_5         61249.0     8.031626    3.622872     3.9100     3.9100     7.0500    10.5200    14.6200
s_6         61249.0    11.589457    5.444017     5.6700     5.7200     9.0300    15.4800    21.6100
s_7         61249.0   283.328633  146.880210   136.1700   142.9200   194.9600   394.2800   570.8100
s_8         61249.0  2228.686034  145.348243  1914.7200  2211.9500  2223.0700  2323.9300  2388.6400
s_9         61249.0  8524.673301  336.927547  7984.5100  8320.5900  8362.7600  8777.2500  9196.8100
s_10        61249.0     1.096445    0.127681     0.9300     1.0200     1.0300     1.2600     1.3200
s_11        61249.0    42.874529    3.243492    36.0400    41.7600    42.3300    45.2200    48.3600
s_12        61249.0   266.735665  138.479109   128.3100   134.5200   183.4500   371.4000   537.4900
s_13        61249.0  2334.427590  128.197859  2027.5700  2387.9100  2388.0600  2388.1700  2390.4900
s_14        61249.0  8067.811812   85.670543  7845.7800  8062.6300  8083.8100  8128.3500  8261.6500
s_15        61249.0     9.285604    0.750374     8.1757     8.6480     9.2556     9.3658    11.0663
s_16        61249.0     0.023252    0.004685     0.0200     0.0200     0.0200     0.0300     0.0300
s_17        61249.0   347.760029   27.808283   302.0000   330.0000   334.0000   368.0000   399.0000
s_18        61249.0  2228.613283  145.472491  1915.0000  2212.0000  2223.0000  2324.0000  2388.0000
s_19        61249.0    97.751396    5.369424    84.9300   100.0000   100.0000   100.0000   100.0000
s_20        61249.0    20.864333    9.936396    10.1600    10.9400    14.9300    28.5600    39.8900
s_21        61249.0    12.518995    5.962697     6.0843     6.5661     8.9601    17.1355    23.8852
